"#""+ESI Scan (scans: #13-17"," 5 scans) Frag=200.0V 154-254 GFPuv oMeY run002.d  Subtract Deconvoluted (Isotope Width=0.0)""",,
#Point,X(Daltons),Y(Counts),
231,23231,174.2844238,
232,23232,225.3172455,
233,23233,291.8202209,
234,23234,369.9726563,
235,23235,454.4977112,
236,23236,520.1437378,
237,23237,536.4276733,
238,23238,506.8792419,
239,23239,458.4710388,
240,23240,413.099823,
241,23241,387.8421936,
242,23242,390.8237305,
243,23243,414.309906,
244,23244,448.0601501,
245,23245,486.1377258,
246,23246,513.81604,
247,23247,516.97052,
248,23248,499.914032,
249,23249,464.761261,
250,23250,410.2512512,
251,23251,359.6477051,
252,23252,341.2541809,
253,23253,357.239502,
254,23254,388.686615,
255,23255,413.1917725,
256,23256,421.9528503,
257,23257,411.5990906,
258,23258,380.9386902,
259,23259,357.0144043,
260,23260,371.1227112,
261,23261,421.5592041,
262,23262,498.5677185,
263,23263,584.8412476,
264,23264,634.8500977,
265,23265,629.8317871,
266,23266,613.9728394,
267,23267,619.5909424,
268,23268,619.857666,
269,23269,594.7008057,
270,23270,566.5198364,
271,23271,537.2819214,
272,23272,480.8552551,
273,23273,412.2368164,
274,23274,376.5958557,
275,23275,385.565155,
276,23276,409.1570129,
277,23277,413.8428955,
278,23278,403.1931458,
279,23279,402.2505493,
280,23280,412.3321228,
281,23281,415.6955566,
282,23282,396.2808228,
283,23283,350.0195618,
284,23284,295.0559387,
285,23285,255.8106995,
286,23286,239.4091492,
287,23287,237.0392914,
288,23288,238.1976013,
289,23289,236.634491,
290,23290,228.9415436,
291,23291,216.792511,
292,23292,207.6042175,
293,23293,206.631134,
294,23294,210.9051514,
295,23295,221.5149078,
296,23296,258.1697388,
297,23297,340.8656006,
298,23298,450.2399902,
299,23299,540.8942871,
300,23300,600.866272,
301,23301,644.4391479,
302,23302,662.236145,
303,23303,637.1323853,
304,23304,591.6899414,
305,23305,579.2712402,
306,23306,641.0333862,
307,23307,768.7384644,
308,23308,884.9185181,
309,23309,931.2775879,
310,23310,956.6774902,
311,23311,1001.504578,
312,23312,1031.734131,
313,23313,1054.333252,
314,23314,1090.470825,
315,23315,1079.874512,
316,23316,983.4984131,
317,23317,866.5478516,
